iter	Passed	Remaining
471	680	761
472	681	759
473	682	757
474	683	755
475	684	753
476	684	751
477	685	749
478	686	747
479	687	745
480	688	743
481	690	742
482	691	740
483	692	738
484	694	737
485	695	735
486	696	733
487	696	731
488	697	729
489	698	727
490	699	725
491	700	723
492	701	721
493	702	719
494	703	717
495	704	716
496	706	714
497	707	712
498	707	710
499	708	708
500	709	706
501	710	705
502	711	703
503	712	701
504	713	699
505	714	697
506	715	695
507	716	693
508	717	691
509	718	689
510	719	688
511	721	687
512	722	685
513	722	683
514	723	681
515	724	679
516	725	677
517	726	676
518	727	674
519	728	672
520	729	670
521	730	668
522	731	666
523	732	665
524	733	663
525	734	661
526	735	660
527	737	659
528	738	657
529	739	655
530	740	654
531	741	652
532	742	650
533	743	648
534	744	647
535	745	645
536	746	643
537	747	641
538	748	639
539	749	638
540	750	637
541	752	635
542	752	633
543	753	631
544	754	630
545	755	628
546	756	626
547	757	625
548	758	623
549	759	621
550	760	619
551	761	618
552	762	616
553	763	614
554	765	613
555	766	611
556	767	610
557	768	608
558	769	606
559	770	605
560	770	603
561	771	601
562	772	599
563	773	598
564	774	596
565	775	594
566	776	593
567	777	591
568	778	589
569	780	588
570	781	586
571	782	585
572	783	583
573	783	581
574	784	580
575	785	578
576	786	576
577	787	575
578	788	573
579	789	571
580	790	570
581	791	568
582	792	566
583	793	565
584	795	564
585	796	562
586	797	561
587	798	559
588	799	557
589	800	556
590	801	554
591	802	552
592	802	551
593	803	549
594	804	547
595	805	546
596	806	544
597	807	542
598	808	541
599	810	540
600	811	538
601	812	537
602	813	535
603	814	533
604	815	532
605	816	530
606	817	529
607	817	527
608	819	526
609	820	524
610	821	523
611	822	521
612	823	520
613	825	519
614	827	517
615	828	516
616	829	514
617	830	513
618	831	511
619	832	510
620	833	508
621	834	507
622	835	505
623	836	503
624	837	502
625	838	500
626	838	499
627	841	498
628	841	496
629	842	495
630	843	493
631	845	492
632	846	490
633	847	489
634	848	487
635	849	486
636	850	484
637	851	483
638	852	481
639	853	480
640	856	479
641	857	478
642	858	476
643	859	475
644	860	473
645	861	471
646	862	470
647	863	468
648	863	467
649	864	465
650	865	464
651	866	462
652	867	461
653	868	459
654	869	458
655	871	456
656	872	455
657	873	453
658	874	452
659	874	450
660	875	449
661	876	447
662	877	446
663	878	444
664	879	443
665	880	441
666	881	440
667	882	438
668	883	437
669	886	436
670	887	434
671	887	433
672	888	431
673	889	430
674	890	428
675	891	427
676	892	425
677	893	424
678	894	422
679	895	421
680	896	419
681	897	418
682	898	416
683	899	415
684	900	414
685	901	412
686	902	411
687	903	409
688	904	408
689	905	406
690	906	405
691	907	403
692	908	402
693	909	400
694	910	399
695	911	397
696	912	396
697	912	394
698	913	393
699	916	392
700	917	391
701	918	389
702	919	388
703	919	386
704	920	385
705	921	383
706	922	382
707	923	381
708	924	379
709	925	378
710	926	376
711	927	375
712	928	373
713	931	373
714	932	371
715	934	370
716	935	369
717	937	368
718	938	366
719	939	365
720	940	363
721	941	362
722	943	361
723	946	361
724	948	359
725	952	359
726	953	358
727	955	356
728	956	355
729	959	354
730	962	354
731	963	352
732	965	351
733	966	350
734	967	348
735	969	347
736	970	346
737	971	344
738	972	343
739	973	342
740	974	340
741	977	339
742	978	338
743	979	337
744	981	335
745	982	334
746	983	333
747	984	331
748	985	330
749	987	329
750	988	327
751	989	326
752	990	324
753	992	323
754	993	322
755	996	321
756	997	320
757	999	318
758	1000	317
759	1002	316
760	1004	315
761	1005	314
762	1008	313
763	1009	311
764	1011	310
765	1012	309
766	1013	307
767	1014	306
768	1015	304
769	1016	303
770	1017	302
771	1018	300
772	1019	299
773	1020	297
774	1023	297
775	1024	295
776	1027	294
777	1029	293
778	1030	292
779	1031	290
780	1032	289
781	1033	288
782	1034	286
783	1035	285
784	1037	284
785	1038	282
786	1040	281
787	1041	280
788	1042	278
789	1043	277
790	1045	276
791	1048	275
792	1049	273
793	1050	272
794	1053	271
795	1055	270
796	1056	269
797	1057	267
798	1058	266
799	1059	264
800	1060	263
801	1061	262
802	1062	260
803	1063	259
804	1064	257
805	1066	256
806	1068	255
807	1069	254
808	1070	252
809	1071	251
810	1072	250
811	1073	248
812	1074	247
813	1076	246
814	1077	244
815	1078	243
816	1079	241
817	1080	240
818	1081	239
819	1084	238
820	1086	236
821	1088	235
822	1090	234
823	1091	233
824	1093	231
825	1094	230
826	1095	229
827	1097	227
828	1099	226
829	1101	225
830	1103	224
831	1104	223
832	1105	221
833	1106	220
834	1107	218
835	1109	217
836	1110	216
837	1111	214
838	1112	213
839	1115	212
840	1117	211
841	1118	209
842	1120	208
843	1121	207
844	1122	205
845	1123	204
846	1124	203
847	1125	201
848	1126	200
849	1127	199
850	1129	197
851	1130	196
852	1131	195
853	1132	193
854	1133	192
855	1134	190
856	1135	189
857	1136	188
858	1137	186
859	1138	185
860	1139	183
861	1140	182
862	1141	181
863	1142	179
864	1144	178
865	1145	177
866	1146	175
867	1147	174
868	1148	173
869	1149	171
870	1150	170
871	1151	168
872	1151	167
873	1152	166
874	1153	164
875	1154	163
876	1155	162
877	1156	160
878	1157	159
879	1159	158
880	1160	156
881	1161	155
882	1162	154
883	1163	152
884	1164	151
885	1165	149
886	1166	148
887	1167	147
888	1168	145
889	1169	144
890	1170	143
891	1170	141
892	1171	140
893	1172	139
894	1174	137
895	1175	136
896	1176	135
897	1177	133
898	1178	132
899	1179	131
900	1180	129
901	1181	128
902	1182	126
903	1183	125
904	1183	124
905	1184	122
906	1185	121
907	1186	120
908	1187	118
909	1189	117
910	1190	116
911	1191	115
912	1192	113
913	1193	112
914	1194	110
915	1195	109
916	1196	108
917	1197	106
918	1198	105
919	1199	104
920	1200	102
921	1201	101
922	1202	100
923	1203	99
924	1205	97
925	1206	96
926	1208	95
927	1209	93
928	1210	92
929	1211	91
930	1212	89
931	1213	88
932	1214	87
933	1215	85
934	1216	84
935	1217	83
936	1219	82
937	1221	80
938	1222	79
939	1223	78
940	1225	76
941	1226	75
942	1227	74
943	1227	72
944	1228	71
945	1229	70
946	1230	68
947	1231	67
948	1232	66
949	1234	64
950	1235	63
951	1236	62
952	1237	61
953	1238	59
954	1239	58
955	1240	57
956	1240	55
957	1241	54
958	1242	53
959	1243	51
960	1244	50
961	1245	49
962	1246	47
963	1248	46
964	1249	45
965	1250	44
966	1251	42
967	1252	41
968	1253	40
969	1254	38
970	1255	37
971	1256	36
972	1257	34
973	1258	33
974	1259	32
975	1260	30
976	1261	29
977	1262	28
978	1263	27
979	1264	25
980	1265	24
981	1266	23
982	1267	21
983	1268	20
984	1269	19
985	1270	18
986	1271	16
987	1272	15
988	1273	14
989	1274	12
990	1275	11
991	1276	10
992	1277	9
993	1278	7
994	1280	6
995	1280	5
996	1281	3
997	1282	2
998	1283	1
999	1284	0
